,links,category
99,https://evtol.news/mydraco,Vectored Thrust
100,http://evtol.news/nasa-greased-lightning/,Vectored Thrust
101,https://evtol.news/nasa-la-8-evtol-testbed,Vectored Thrust
102,https://evtol.news/neae-gsi-evtol-bus,Vectored Thrust
103,https://evtol.news/neae-gsi-evtol-taxi,Vectored Thrust
104,http://evtol.news/neoptera/,Vectored Thrust
105,http://evtol.news/nft-evtol/,Vectored Thrust
106,https://evtol.news/ntf-aska-20-prototype-design,Vectored Thrust
107,https://evtol.news/orca-aerospace-orca-evtol,Vectored Thrust
108,http://evtol.news/overair-butterfly/,Vectored Thrust
109,http://evtol.news/paragon-vtol-aerospace-t21-raptor/,Vectored Thrust
110,https://evtol.news/pdrl-aerohans-2s/,Vectored Thrust
111,https://evtol.news/pdrl-aerohans-4s/,Vectored Thrust
112,https://evtol.news/porsche-unnamed/,Vectored Thrust
113,http://evtol.news/pterodynamics-transwing/,Vectored Thrust
114,http://evtol.news/ray-vtol-aircraft/,Vectored Thrust
115,https://evtol.news/robathon-lvi-evtol,Vectored Thrust
116,https://evtol.news/robathan-range-rover-evtol,Vectored Thrust
117,https://evtol.news/robathon-sai-evtol,Vectored Thrust
118,https://evtol.news/robathan-sih-evtol,Vectored Thrust
119,https://evtol.news/robathan-vel-evtol,Vectored Thrust
120,http://evtol.news/rolls-royce-evtol/,Vectored Thrust
121,https://evtol.news/draco-2-uas/,Vectored Thrust
122,http://evtol.news/sabrewing-rhaegal-uas/,Vectored Thrust
123,http://evtol.news/samad-aerospace-huma/,Vectored Thrust
124,http://evtol.news/starling-jet/,Vectored Thrust
125,https://evtol.news/samad-e-starling-jet/,Vectored Thrust
126,https://evtol.news/samad-uav-starling/,Vectored Thrust
127,https://evtol.news/scienex-flyter,Vectored Thrust
128,https://evtol.news/skyboom,Vectored Thrust
129,http://evtol.news/skylys-ao/,Vectored Thrust
130,https://evtol.news/stuttgart-aerospace-apollo,Vectored Thrust
131,https://evtol.news/stuttgart-aerospace-eolos,Vectored Thrust
132,https://evtol.news/stuttgart-aerospace-eolos-1,Vectored Thrust
133,https://evtol.news/stuttgart-aerospace-eolos-model-2,Vectored Thrust
134,https://evtol.news/stuttgart-aerospace-parmenion,Vectored Thrust
135,https://evtol.news/stuttgart-aerospace-ems,Vectored Thrust
136,http://evtol.news/supervolant-pegasus/,Vectored Thrust
137,http://evtol.news/terrafugia/,Vectored Thrust
138,http://evtol.news/terrafugia-tf-x/,Vectored Thrust
139,http://evtol.news/transcend-air-vy-400/,Vectored Thrust
140,https://evtol.news/uber-elevate-ecrm-001/,Vectored Thrust
141,https://evtol.news/uber-elevate-ecrm-004/,Vectored Thrust
142,http://evtol.news/verdego/,Vectored Thrust
143,https://evtol.news/vertical-aerospace-VA-1X,Vectored Thrust
144,http://evtol.news/wave-evtol/,Vectored Thrust
145,http://evtol.news/vimana/,Vectored Thrust
146,http://evtol.news/vision-vtol/,Vectored Thrust
147,http://evtol.news/volerian/,Vectored Thrust
148,http://evtol.news/voyzon-aerospace-e-voto/,Vectored Thrust
149,http://evtol.news/vrco-neoxcraft/,Vectored Thrust
150,http://evtol.news/vtol-aviation-abhiyaan/,Vectored Thrust
151,https://evtol.news/xagon-solutions-xc-heavy,Vectored Thrust
152,https://evtol.news/xeriant-halo,Vectored Thrust
153,https://evtol.news/xti-trifan-200,Vectored Thrust
154,http://evtol.news/xti-aircraft/,Vectored Thrust
155,http://evtol.news/zenith-altitude-eopa/,Vectored Thrust
156,http://evtol.news/zeva-zero/,Vectored Thrust
157,https://evtol.news/aerofex-aero-x,Hover Bikes/Personal Flying Devices
158,https://evtol.news/aerofex-aero-x-nautical,Hover Bikes/Personal Flying Devices
159,http://evtol.news/aeroxo-lv-era-aviabike/,Hover Bikes/Personal Flying Devices
160,http://evtol.news/air-transportation-technology-catapult-one/,Hover Bikes/Personal Flying Devices
161,https://evtol.news/ali-technologies-hover-bike/,Hover Bikes/Personal Flying Devices
162,https://evtol.news/ali-technologies-xturismo/,Hover Bikes/Personal Flying Devices
163,https://evtol.news/aliptera-adr-1-dragon-rider/,Hover Bikes/Personal Flying Devices
164,https://evtol.news/assen-a1/,Hover Bikes/Personal Flying Devices
165,https://evtol.news/assen-aerospace-a2-avenger/,Hover Bikes/Personal Flying Devices
166,http://evtol.news/athena-aero/,Hover Bikes/Personal Flying Devices
167,http://evtol.news/aviaereo-aereo-bee/,Hover Bikes/Personal Flying Devices
168,http://evtol.news/flike/,Hover Bikes/Personal Flying Devices
169,https://evtol.news/bay-zoltan-flike-2,Hover Bikes/Personal Flying Devices
170,http://evtol.news/colin-furze-hoverbike/,Hover Bikes/Personal Flying Devices
171,https://evtol.news/concept-aircraft-aircycle/,Hover Bikes/Personal Flying Devices
172,https://evtol.news/copterpack-copterpack,Hover Bikes/Personal Flying Devices
173,http://evtol.news/dragonair-airboard-1/,Hover Bikes/Personal Flying Devices
174,https://evtol.news/dragonair-airboard-2,Hover Bikes/Personal Flying Devices
175,https://evtol.news/dragonair-airboard-3,Hover Bikes/Personal Flying Devices
176,https://evtol.news/edea-222-squid,Hover Bikes/Personal Flying Devices
177,https://evtol.news/edea-223-kamino,Hover Bikes/Personal Flying Devices
178,http://evtol.news/electrafly-electraflyer/,Hover Bikes/Personal Flying Devices
179,http://evtol.news/electric-jet-aircraft-ej-1b-defunct/,Hover Bikes/Personal Flying Devices
180,http://evtol.news/electric-jet-ej-1/,Hover Bikes/Personal Flying Devices
181,http://evtol.news/electric-jet-aircraft-verticycle/,Hover Bikes/Personal Flying Devices
